country,gold,silver,bronze
China,48,21,30
United States,36,38,37
Russia,22,15,22
Great Britain,19,13,16
Germany,16,10,15
Australia,14,15,17
South Korea,13,11,8
Japan,9,7,9
Italy,8,9,10
France,7,16,19
Netherlands,7,5,4
Ukraine,7,4,11
Kenya,6,4,4
Spain,5,10,4
Jamaica,5,3,2
Poland,4,5,2
Romania,4,1,4
Ethiopia,4,1,2
Canada,3,9,8
Hungary,3,5,2
Norway,3,5,1
Brazil,3,4,10
Belarus,3,4,6
Czech Republic,3,3,1
New Zealand,3,2,4
Georgia,3,2,2
Slovakia,3,2,1
Cuba,2,10,15
Denmark,2,2,3
North Korea,2,2,2
Thailand,2,2,2
Mongolia,2,2,0
Switzerland,2,1,4
Argentina,2,0,4
Mexico,2,0,1
Belgium,2,0,0
Kazakhstan,1,3,4
Zimbabwe,1,3,0
Slovenia,1,2,2
Azerbaijan,1,1,4
Indonesia,1,1,4
Bulgaria,1,1,3
Turkey,1,1,3
Finland,1,1,2
Chinese Taipei,1,1,2
Latvia,1,1,1
Dominican Republic,1,1,0
Estonia,1,1,0
Portugal,1,1,0
Trinidad and Tobago,1,1,0
India,1,0,2
Iran,1,0,1
Cameroon,1,0,0
Panama,1,0,0
Tunisia,1,0,0
Sweden,0,4,1
Lithuania,0,3,2
Croatia,0,2,3
Nigeria,0,2,3
Greece,0,2,1
Armenia,0,1,4
Uzbekistan,0,1,3
Austria,0,1,2
Colombia,0,1,2
Ireland,0,1,2
Serbia,0,1,2
Algeria,0,1,1
Bahamas,0,1,1
Kyrgyzstan,0,1,1
Morocco,0,1,1
Tajikistan,0,1,1
Chile,0,1,0
Ecuador,0,1,0
Iceland,0,1,0
Malaysia,0,1,0
Samoa,0,1,0
Singapore,0,1,0
South Africa,0,1,0
Sudan,0,1,0
Vietnam,0,1,0
Afghanistan,0,0,1
Egypt,0,0,1
Israel,0,0,1
Mauritius,0,0,1
Moldova,0,0,1
Togo,0,0,1
Venezuela,0,0,1
